| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| 125 | ECU | 林晚意手指在口袋中收紧，钥匙残骸冰冷的触感和警报装置的棱角硌着掌心。她强迫自己与“博士”对视，毫不退缩。 | 推进（两人对视） | （林晚意）如果我说不呢？ | 她平稳但隐含力量的反问 | 她眼中倒映出“博士”手中圆片的光纹，瞳孔深处蓝光一闪而逝 |
| 126 | MCU | “博士”似乎对她的反应毫不意外，甚至露出一丝极淡的、近乎欣赏的笑意。他抬起另一只手，指向教堂高高的穹顶。 | 跟拍（他手指方向） | （博士）那么，你父亲林正鸿先生名下，所有海外资产和关联账户，将在三分钟内被全球37个金融监管机构同步冻结并调查。当然，这只是最温和的“劝说”方式。 | 他指尖仿佛有微光流转 | 随着他指向，穹顶上方隐约浮现出复杂的、半透明的数据流和金融网络图景，一闪即逝 |
| 127 | CU | 林晚意下颌线绷紧，眼中杀意暴涨，但瞬间又被强行压下。她知道对方不是在虚张声势。 | 固定 | （林晚意，从牙缝里挤出）你们…到底想干什么？ | 她牙齿摩擦的细微声响 | 她周身空气温度似乎下降了几度，呵出的气息在光线中形成白雾 |
| 128 | LS | “博士”向前迈了一步，距离拉近。他身后的阴影中，又无声地浮现出两名同样气质冷硬、身着黑衣的随从，彻底封死了林晚意的退路。 | 拉远（展示被包围的态势） | （博士）很简单。第一，交出“时空密钥”残骸和你从陈世荣那里拿走的所有东西。第二，配合我们进行一次全面的“溯源检测”，我们需要了解密钥激活的详细数据和你身上的…“烙印”情况。作为回报，我们可以保证你父亲和家族企业的绝对安全，并且…（停顿）或许可以告诉你，关于“重生”的真相。 | 随从脚步落地的声音轻不可闻，却带着沉重的压迫感 | 两名随从眼中闪过非人的、数据流般的微光，他们的存在让周围空间的光线都黯淡了几分 |
| 129 | ECU | “重生真相”四个字，像重锤砸在林晚意心上。她呼吸一滞，所有防备出现了一丝裂痕。 | 固定（她眼中闪过的动摇与渴望） | （内心独白，无声）真相… | 她自己骤然漏跳一拍的心跳声 | 眼前瞬间闪过前世零碎的记忆画面——死亡瞬间的黑暗、重生时刺眼的白光、手腕疤痕形成时的剧痛… |
| 130 | MCU | 但仅仅一秒，裂痕便被更坚硬的冰层覆盖。她太清楚，与虎谋皮的代价。交出一切，就等于交出所有主动权，任人宰割。 | 跟拍（她眼神重新凝聚、冰封的过程） | （林晚意，缓缓开口）我怎么知道，交出东西后，你们不会反悔？甚至…灭口？ | 她声音恢复了冷静，甚至带着一丝嘲讽 | 她左手手腕疤痕处的蓝光，随着她情绪的重新掌控，稳定而内敛地脉动起来 |
| 131 | CU | “博士”似乎早料到她会这么问。他手中的银色圆片光芒一变，投射出一份泛着微光的、复杂契约文书虚影，悬浮在空中。文书上的文字古老而晦涩，但核心条款清晰可见，约束力条款闪烁着危险的红光。 | 推进（聚焦契约文书虚影） | （博士）以“观测者条例”和时空稳定公约起誓，签订这份约束性契约。违背者，将承受“因果反噬”和所有观测站的永久追缉。这是最高级别的保证。林小姐，你没有太多时间考虑。天空的“涟漪”正在扩大，很快会吸引来…不那么守规矩的“清理者”。 | 契约文书虚影发出低沉的、仿佛来自远古的嗡鸣 | 文书上代表“违背惩罚”的符文如同活物般蠕动，散发出令人心悸的能量波动 |
| 132 | ECU | 林晚意目光快速扫过契约条款，大脑飞速运转。硬拼毫无胜算，父亲是软肋，但完全屈服更是死路。她需要筹码，需要时间。 | 固定（她眼中高速计算的光芒） | （林晚意，抬头直视博士）契约可以签。东西也可以给。但我有三个条件。 | 她斩钉截铁的语气，不容置疑 | 她说话时，手腕蓝光与契约文书的红光产生微弱的对抗性脉冲，在空气中激起细碎的火花 |
| 133 | MS | “博士”挑了挑眉，做了个“请讲”的手势，姿态依旧从容，但眼神专注了些。 | 固定 | （博士）说。 | 他指尖轻点，契约文书虚影稳定下来 | 无 |
| 134 | CU | 林晚意竖起一根手指。 | 推进（她手指特写） | （林晚意）第一，检测过程我必须全程清醒，并有我的律师（苏晴）在场监督。所有检测数据和结论，我必须拥有一份完整副本。 | 她清晰、有力的声音在教堂空间里回荡 | 她指尖仿佛凝聚了一点微弱的蓝光，点在契约虚影上，留下一个短暂的光痕 |
| 135 | MCU | 她竖起第二根手指。 | 跟拍 | （林晚意）第二，在检测期间及之后，你们必须确保我父亲、以及我指定人员（顾知行、苏晴）的绝对安全，并提供必要的、不违反你们“条例”的信息支持，助我彻底清理陆家残余势力和陈世荣的党羽。 | 她语速加快，但条理分明 | 第二点要求说出时，契约文书上对应的条款区域亮起，文字微微调整，似乎在被实时修改 |
| 136 | ECU | 她竖起第三根手指，眼神锐利如刀，直视“博士”。 | 固定 | （林晚意）第三，也是最重要的。告诉我，沈聿在你们这个“游戏”里，扮演什么角色？他是“观测者”，是“棋子”，还是…别的什么？我要知道关于他的一切，以及他和陈世荣、和我的“重生”到底有什么关系。 | 她最后的问题，带着不容回避的尖锐 | 提到“沈聿”名字时，契约文书虚影轻微震颤，某个隐藏的条款似乎被触动，闪烁了一下 |
| 137 | LS | “博士”沉默了片刻，目光在林晚意脸上停留，仿佛在重新评估她的价值。教堂内寂静无声，只有窗外那非自然的低沉嗡鸣越来越近。他身后的随从微微侧头，似乎在接收什么信息。 | 拉远（对峙全景，窗外天空乌云压顶） | （博士，缓缓点头）前两个条件，可以接受。契约即刻修正。至于第三个…（他看了一眼手中接收信息的银色圆片）关于沈聿，他的情况比较…特殊。我可以告诉你的是，他并非观测站成员，但他的确与“遗物”和某些…“异常重生者”有深度关联。更多信息，需要在你完成初步检测，并证明你的“稳定性”之后，才能解锁。 | 银色圆片信息提示音，窗外嗡鸣声中开始夹杂着类似玻璃碎裂的细微声响 | 教堂高大的彩绘玻璃窗开始出现细微的、蛛网般的裂纹，裂纹中透出暗红色的光 |
| 138 | MCU | 林晚意知道这是对方能做出的最大让步。她不再犹豫，果断点头。 | 固定 | （林晚意）成交。现在，立刻离开这里。 | 她干脆利落的决定 | 她手腕蓝光收敛，仿佛与契约达成了某种暂时的平衡 |
| 139 | CU | “博士”手指在契约虚影上快速划动，最终在末尾处，一个复杂的金色符文亮起。他将虚影推向林晚意。 | 推进（契约符文特写） | （博士）用你的“烙印”触碰符文，契约成立。 | 符文旋转、发出悦耳但充满约束力的鸣响 | 金色符文中心，浮现出一个与林晚意手腕疤痕形状极其相似的简化图案 |
| 140 | ECU | 林晚意抬起左手，手腕疤痕暴露在空气中，隐隐发烫。她毫不犹豫地将疤痕印向那个金色符文。 | 慢动作推进（疤痕与符文接触瞬间） | （无） | 接触瞬间，一声仿佛来自灵魂深处的清越钟鸣响起 | 疤痕蓝光与契约金芒猛烈交融、爆发，化作无数细碎的光点融入她和“博士”的眉心。同时，她口袋中的钥匙残骸彻底化为齑粉，一股庞大的、混乱的信息流瞬间冲入她的脑海！ |
| 141 | MS | 林晚意身体剧震，闷哼一声，眼前发黑，无数破碎的、不属于今生的画面和信息碎片疯狂闪现——陌生的星图、扭曲的时钟、沈聿在不同时代的模糊身影、陈世荣跪拜在一个阴影前的场景…她踉跄一步，被“博士”身后的一名随从稳稳扶住。 | 晃动跟拍（林晚意承受信息冲击） | （林晚意，痛苦低吟）啊… | 信息流在脑海中奔涌的轰鸣声（主观），她压抑的痛呼 | 她眼中虹膜被数据流般的蓝金色光芒覆盖，瞬息万变 |
| 142 | LS | “博士”冷静地看着这一切，对另一名随从点头。随从抬手，一个银色的力场以他们为中心展开，隔绝了外部。窗外，暗红色的闪电终于劈下，却仿佛被一层无形的屏障挡住，在教堂外炸开一片炫目的光污染。 | 拉远（银色力场展开，隔绝内外） | （博士，对随从）带她走。第七站，最高保密级别。清理现场，抹除所有痕迹。 | 力场展开的嗡鸣，外部闪电击中屏障的沉闷爆炸声 | 银色力场如同一个倒扣的碗，将几人笼罩。力场外，教堂彩绘玻璃在冲击波中轰然碎裂，但碎片悬浮在空中，无法侵入力场内部。力场内，一个微型的空间漩涡正在形成。 |

