| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| 90 | CU | 张明在强光下无所遁形。他脸上未擦净的汗渍污痕、破掉的裤腿膝盖、空洞又惊慌的眼神，全部暴露无遗。他下意识想藏起受伤的腿和攥着纸条的手。 | 推进至张明尴尬躲闪的脸 | （张明，慌乱）翁…翁阿姨…您怎么… | 制服布料摩擦的窸窣声 | 他脸上的疲惫和脆弱在灯光下被放大到极致。 |
| 91 | MS | 翁岫华没接话，目光锐利地扫过他全身，尤其在破损的膝盖和僵硬的姿势上停留片刻。她眉头皱起，径直走进来，把保温桶放在桌上。 | 跟拍翁岫华走进屋内的动作 | （翁岫华）芳子走之前把钥匙放我这儿了，让我看着点门。这都几点了？你手机怎么回事？小雅生病了你知不知道？ | 保温桶底与桌面接触的闷响、她略带急促的脚步声 | 她的存在让原本冰冷寂静的客厅瞬间有了“人气”和压力。 |
| 92 | MCU | 张明被一连串问题砸得有些懵，嘴唇动了动，没发出声音。他下意识去摸口袋里的碎手机，手指碰到尖锐处，又缩了回来。 | 固定 | （张明，声音干涩）…手机…摔了。小雅…她严重吗？ | 手指与碎屏接触的细微“喀”声 | 他摸口袋的动作显得笨拙而心虚。 |
| 93 | CU | 翁岫华看着他摸口袋又缩回的手，和他脸上掩饰不住的焦急，叹了口气，语气缓和了些。 | 推进至翁岫华的脸 | （翁岫华）傍晚烧到三十九度五，现在应该稳住了。芳子刚发信息给我，说还在挂水，让我别担心。倒是你—— | 她掏出自己的老人机，屏幕亮着，显示着李芳的信息。 | 老人机屏幕的冷光映着她眼角的皱纹。 |
| 94 | ECU | 张明听到“稳住了”，紧绷的肩膀瞬间垮下一丝，但听到“倒是你”，又立刻绷紧。他不敢看翁岫华的眼睛。 | 聚焦于他微微放松又立刻紧绷的肩膀线条 | （无） | 他细微的、如释重负又立刻提起的呼吸变化 | 灯光下，他制服后背被汗水浸湿又干涸的盐渍清晰可见。 |
| 95 | MS | 翁岫华走到他面前，不由分说地拉起他的左手腕。动作干脆，带着不容拒绝的力道。张明猝不及防，手腕上的红绳和污渍暴露在她眼前。 | 低角度仰拍（翁岫华拉他手腕的动作） | （翁岫华）腿怎么了？跟人打架了？还是摔了？ | 手腕被抓住时制服袖口的摩擦声 | 翁岫华布满老茧但温暖的手，与他冰凉肮脏的手腕形成对比。 |
| 96 | CU | 张明想抽回手，但翁岫华握得很紧。他脸上闪过窘迫、羞愧，还有一丝被关怀触及软弱的无措。 | 固定（两人手的特写） | （张明，低声）没…没事，送单不小心…磕了一下。 | 他试图挣脱未果的细微挣扎声 | 红绳在翁岫华的手指间显得格外刺眼和脆弱。 |
| 97 | MCU | 翁岫华松开他的手腕，却顺势拍了一下他完好的右臂，力道不轻。 | 跟拍翁岫华的动作 | （翁岫华，带着责备和心疼）磕了一下？你这孩子，从小就不会撒谎！脸色白得跟纸一样，还没事？坐下！ | 手掌拍在手臂上的清脆响声 | 她拍打的动作带着一种长辈特有的、混合着关切与训诫的力道。 |
| 98 | LS | 翁岫华不由分说地把张明按到旧沙发上。沙发发出不堪重负的呻吟。她转身去拿保温桶，又去卫生间拿毛巾。 | 甩镜（从张明被按坐下甩向翁岫华忙碌的背影） | （张明，无力地）翁阿姨，真不用… | 沙发弹簧的吱呀声、翁岫华打开保温桶盖子的声音、水龙头打开的声音 | 她矮小但利落的身影在狭小的客厅里忙碌，瞬间掌控了局面。 |
| 99 | ECU | 张明坐在沙发上，身体僵硬。他看着翁岫华忙碌的背影，又低头看看自己脏污的双手和膝盖，眼神复杂。那是一种长期独自硬扛后，突然被外力强行介入关怀的茫然和…一丝难以察觉的、松动的酸楚。 | 缓慢推近至他低垂的脸和眼神 | （无） | 卫生间传来的水流声、翁岫华拧毛巾的水声 | 他眼中强撑的坚硬外壳，在温暖的灯光和熟悉的关怀面前，产生了一丝细微的裂纹。 |

