
--- 第 1 集剧情回顾 ---
| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| 15 | MS | 他走到墙边，拉开一个隐藏的金属面板，里面是一套轻便的勘探外骨骼和一把非致命性声波震荡器。他动作熟练地检查装备，手指拂过外骨骼关节处的磨损痕迹——那是三年前的旧伤。 | 低角度仰拍，突出装备的冷硬质感与林墨的瘦削身形 | （对通讯器，同时检查装备）老陈那边，让他启动‘方舟’第七区的备用能源。保持静默，等我信号。 | 外骨骼关节锁扣检查时的“咔嗒”声，声波震荡器能量充能的低沉嗡鸣。 | 当他手指拂过外骨骼旧磨损处时，磨损痕迹短暂地亮起暗红色，与他之前插入的密钥光芒同频闪烁了一次。 |


--- 第 4 集剧情回顾 ---
| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 16 | CU | 林墨将声波震荡器卡入外骨骼臂部接口，动作精准如手术。他的目光扫过工作台上那件未完成的青花瓷瓶，指尖在瓶身一处修复好的裂纹上短暂停留。 | 固定，特写手与瓷瓶的接触 | （低声，对瓷瓶）等我回来。 | 接口锁合的金属轻响，指尖划过光滑釉面的细微摩擦声。 | 他指尖停留的裂纹处，幽蓝色光晕再次一闪而过，比之前更清晰。 |
| 17 | MCU | 他套上外骨骼的最后一处肩甲，金属贴合身体发出轻微的充气密封声。他抬起头，看向窗外。曙光星的双日已完全升起，将生态穹顶染成一片灼目的金白。 | 从林墨视角快速推向窗外刺目的双日 | （对通讯器）沈清音，屏蔽‘拾遗斋’周围五十米所有非必要数据流。启动‘静默协议’等级三。 | 外骨骼系统自检完成的提示音，远处城市交通管制的空中航道提示音。 | 窗外景象在林墨眼中被叠加了一层半透明的数据网格，几个代表监控探头的红点迅速熄灭。 |
| 18 | LS | 林墨走向工作室后部一扇伪装成书架的门。他抬手，腕部环状疤痕对准隐藏扫描器。书架无声滑开，露出一条向下延伸、灯光幽暗的金属通道。 | 跟拍林墨走向通道口的背影 | （最后一句，对着空荡的工作室）别动我的东西。 | 书架滑开的液压声，通道内循环空气的微弱嘶鸣。 | 扫描器红光扫过他腕部疤痕时，疤痕内部似乎有极细微的、类似电路的光纹流动了一瞬。 |
| 19 | ECU | 通道口关闭前最后一瞬，林墨回头看了一眼工作室。他的目光落在工作台那盏暖黄色的老台灯上，眼神深处掠过一丝极难察觉的、类似眷恋的波动。 | 快速甩镜，从台灯特写甩回林墨即将没入黑暗的侧脸 | （无声） | 通道门闭合的沉闷撞击声，将外界所有声音隔绝。台灯灯泡发出一声轻微的“滋”。 | 通道关闭的阴影吞没他半边脸的刹那，他眼中那丝波动彻底消失，只剩下冰冷的决绝。 |
| 20 | MS（通道内） | 林墨在仅容一人通过的狭窄通道中快速下行。外骨骼足部的磁力吸附装置让他步履无声且稳定。通道墙壁是裸露的合金，布满老旧的管线，闪烁着不稳定的应急灯光。 | 手持跟拍，镜头略带晃动，模拟通道内压抑紧迫的氛围 | （对着内置通讯，声音压得很低）老陈，第七区状态？ | 磁力足与金属地面接触的极轻微吸附声，老旧管线电流通过的“滋滋”杂音，他自己的呼吸声在通道内产生轻微回响。 | 应急灯光闪烁的节奏，与他外骨骼关节处暗红色的待机指示灯闪烁频率逐渐同步。 |


--- 第 5 集剧情回顾 ---
| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 21 | MCU | 林墨的耳内通讯器传来老陈沙哑、简短的回复。他一边下行，一边快速扫视通道墙壁上那些看似杂乱的管线布局，眼神锐利如刀。 | 跟拍林墨侧脸，背景是快速掠过的管线光影 | （老陈画外音，电流干扰严重）第七区…能源核心…稳定。备用线路…已切换。你那边？ | 老陈断续的语音，混杂着强烈的电磁干扰杂音。林墨呼吸声平稳，但略微加深。 | 林墨视线扫过的某些管线节点，在他眼中会短暂高亮为危险的橙红色（外骨骼内置扫描视觉）。 |
| 22 | CU | 林墨突然停下脚步，抬手按住左侧太阳穴。外骨骼头盔内衬亮起微光，显示他正在承受某种精神干扰。他咬紧牙关，额角青筋隐现。 | 固定，特写他紧绷的下颌线与按住太阳穴的手 | （从牙缝里挤出）信号干扰…不是电磁脉冲。是神经脉冲。 | 一阵尖锐、高频的耳鸣声陡然响起，随后减弱为持续的嗡鸣。通道深处传来某种有节奏的、低沉的“咚…咚…”声，如同心跳。 | 他眼前的全息界面剧烈闪烁，出现大量乱码。他左眼瞳孔边缘，那圈极淡的金色光边再次浮现，并开始缓慢旋转。 |
| 23 | LS（通道尽头） | 通道尽头是一扇厚重的、布满锈蚀痕迹的圆形气密门。门上没有任何标识，只有中央一个凹陷的手掌印轮廓。那低沉的“心跳”声正是从门后传来。 | 从林墨背后向前推镜，将他和那扇压迫感十足的门框在一起 | （深吸一口气，对通讯器）沈清音，干扰源确认。就在门后。切断我的生物信号反馈，只保留单向接收。 | “心跳”声越来越响，与林墨自己的心跳声逐渐重叠。气密门边缘有细微的灰尘被震落。 | 门上手掌印轮廓内部，开始有暗红色的、如同熔岩般的纹路缓慢亮起，与林墨密钥的光芒同频。 |
| 24 | ECU | 林墨脱下右手的外骨骼手套，露出修长但布满薄茧的手指。他盯着自己掌心，又看向门上的掌印。眼神中没有犹豫，只有冰冷的审视。 | 快速切换特写：林墨的掌心 -> 门上的掌印 -> 林墨决绝的眼神 | （低声自语）果然…是生物密钥。 | 他摘下手套的摩擦声，外骨骼关节的轻微运转声。门后的“心跳”声在他凝视掌印时，骤然停顿了一拍。 | 他裸露的掌心皮肤下，似乎有极其微弱的、类似掌印轮廓的光纹流动了一瞬，随即消失。 |
| 25 | MS | 林墨将手掌稳稳按入门上的凹陷处。严丝合缝。瞬间，暗红色纹路从掌印处爆发，如血管般瞬间爬满整扇门！ | 低角度仰拍，突出林墨按掌的动作与门上光芒爆发的瞬间 | （闷哼一声）呃——！ | 金属门内部传来巨大的齿轮转动与锁扣解开的轰鸣！强烈的能量流动的“嗡嗡”声充斥通道。 | 暗红色光芒大盛，将林墨和外骨骼染成一片血红。门上浮现出大量快速流动的、无法辨识的古老文字与几何符号。 |
| 26 | CU | 林墨的手臂因门后传来的巨大吸力或压力而微微颤抖。他腕部的环状疤痕在红光照射下，呈现出一种诡异的、仿佛在燃烧的质感。他咬紧牙关，没有松手。 | 特写他因用力而绷紧的小臂肌肉和腕部疤痕 | （从牙缝里，对通讯器）门要开了…准备记录…一切… | 他的骨骼在压力下发出轻微的“咯咯”声。门缝处开始泄露出冰冷的、带着奇异臭氧味道的气流嘶鸣。 | 他腕部的疤痕内部，那些类似电路的光纹再次出现，并且与门上流动的符号产生了某种共鸣般的同步闪烁。 |
| 27 | LS | 气密门轰然向内打开，不是平移，而是如同花瓣般旋转收缩进墙壁！门后并非预想中的洞穴，而是一个巨大的、布满无数不规则水晶簇的球形空间！中央悬浮着一盏样式古朴、正在缓慢自转的……青铜灯。 | 快速拉远，展现开门后令人震撼的球形水晶空间全景 | （林墨的呼吸骤然停止）……灯？ | 门开的巨大风声，水晶簇因空气流动而发出的、如同风铃般清脆又空灵的回响。空间中央，那盏青铜灯发出微弱但稳定的暖黄色光晕。 | 整个球形空间的水晶，都在随着青铜灯的旋转，折射出变幻莫测的、幽蓝色与暖黄色交织的光斑，将林墨的身影吞没。 |


--- 第 6 集剧情回顾 ---
| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 28 | ECU | 林墨的瞳孔因震惊而放大，倒映着那盏悬浮自转的青铜灯。他左眉骨的旧疤传来一阵尖锐的刺痛。 | 固定，极近距离特写瞳孔与灯影 | （无声） | 水晶风铃般的空灵回响，他自己的心跳声在球形空间内被放大、扭曲。 | 他瞳孔中倒映的青铜灯影像，其暖黄光晕边缘，开始渗出一丝丝与瓷片裂纹、信号源同频的幽蓝色。 |
| 29 | MCU | 他强迫自己移开视线，快速扫视整个球形空间。外骨骼的扫描视觉启动，将水晶簇的结构、能量流动轨迹以半透明网格和数据流的形式叠加在现实画面上。 | 从林墨视角快速环扫整个空间 | （对通讯器，声音因空间回声而显得缥缈）球形空间…直径约五十米。能量读数…异常。核心是…一盏灯。 | 扫描视觉激活的轻微蜂鸣，数据流刷新的“滴滴”声。 | 扫描网格显示，所有能量流都从四面八方汇聚向中央的青铜灯，形成一个完美的能量漩涡。 |
| 30 | CU | 他的目光锁定在青铜灯下方地面。那里并非水晶，而是一小块平整的、布满灰尘的金属地板。地板上，有一个清晰的、人类的脚印——赤足，朝向灯的方向。 | 快速推进至脚印特写 | （呼吸一滞）脚印…新鲜的。 | 他自己的呼吸声骤然加重，在寂静的空间中格外清晰。 | 扫描视觉在脚印轮廓上高亮，显示出残留的生物热量信号（淡红色）和…微弱的神经脉冲辐射（幽蓝色）。 |
| 31 | MS | 林墨缓缓踏入球形空间。外骨骼足部与水晶地面接触，发出清脆的“咔哒”声。他每一步都极其谨慎，沿着能量扫描显示的“安全路径”向中央的灯靠近。 | 低角度跟拍，镜头微微晃动，模拟他的谨慎步伐 | （低声自语，近乎耳语）神经脉冲辐射…和干扰源同频。有人…先一步进来了。 | 足部与水晶的碰撞声，外骨骼关节运转的轻微液压声。远处，青铜灯自转传来极其细微的、金属摩擦的“吱呀”声。 | 他走过的路径，两侧的水晶簇会短暂地亮起，仿佛在记录他的通过，光芒紧随他的脚步，如同有生命一般。 |
| 32 | ECU | 林墨在距离青铜灯约五米处停下。他终于看清了灯的细节：样式古朴，类似汉代的“豆形灯”，表面布满繁复的云雷纹和…某种他从未见过的、类似神经网络的蚀刻纹路。灯盘中央，有一小簇幽蓝色的、仿佛液态的“火焰”在静静燃烧。 | 缓慢推进，从灯的全貌推至灯盘中央火焰的特写 | （倒吸一口冷气）…不是化学火焰。是…纯能量体。 | 那簇幽蓝火焰燃烧时，发出一种极低频的、仿佛直接作用于大脑深处的“嗡”鸣。 | 火焰的光芒映照下，灯身蚀刻的神经网络纹路仿佛活了过来，有暗红色的光流在其中缓慢脉动，与林墨腕部疤痕、门上符号的脉动频率完全一致。 |
| 33 | MCU | 林墨的视线从火焰移向灯柄。灯柄底部，镶嵌着一小块…青花瓷片。瓷片上的纹路，与他工作室里那件未修复的缠枝莲纹，残缺的部分严丝合缝。 | 快速切换特写：灯柄瓷片 -> 林墨骤然收缩的瞳孔 | （声音陡然变冷）缠枝莲…原来在这里。 | 空间内所有的声音仿佛瞬间被抽离，只剩下那幽蓝火焰的低频嗡鸣和林墨自己如擂鼓般的心跳。 | 当他的目光锁定瓷片时，瓷片上的缠枝莲纹路骤然亮起幽蓝色光芒，与他工作室里那件瓷瓶裂纹处的光芒产生了跨越空间的共鸣闪烁！ |
| 34 | LS | 球形空间突然震动！无数水晶簇发出尖锐的共鸣声！中央的青铜灯旋转加速，幽蓝火焰猛地窜高！灯光映照下，林墨的影子被拉长、扭曲，投射在水晶墙壁上，仿佛变成了多个挣扎的人形。 | 快速拉远，展现空间震动与光影剧变的全景 | （厉声）沈清音！能量爆发！记录峰值——！ | 水晶簇剧烈震动的轰鸣与尖啸！青铜灯加速旋转的破风声！ | 幽蓝火焰的光辐射呈波纹状扩散，所过之处，水晶墙壁上开始浮现出大量快速闪回的、模糊的影像碎片：挣扎的人影、破碎的瓷器、燃烧的火焰…以及一个背对镜头、身穿古老长袍的模糊身影。 |
| 35 | CU | 林墨在外骨骼的稳定辅助下勉强站稳。他死死盯着火焰中浮现的那些影像碎片，尤其是那个古老长袍的背影。他的左眼剧痛，金色光边疯狂旋转。 | 手持晃动镜头，特写林墨痛苦而专注的脸 | （从牙缝里挤出）…‘陶匠’…是你吗？ | 影像碎片闪回时伴随的、混乱而尖锐的噪音，仿佛无数人的哀嚎与低语被压缩在一起。 | 他左眼瞳孔中，金色光边旋转到极致时，竟短暂地“解析”了其中一个影像碎片——那是一个正在将某种液态金属注入破碎瓷器的、戴着奇异手套的手。手套的纹路，与青铜灯上的神经网络蚀刻纹路一模一样。 |

